i 11, j 1230: score 3
i 32, j 1464: score 3
i 37, j 120: score 3
i 38, j 1098: score 3
i 50, j 989: score 3
i 60, j 136: score 3
i 65, j 1558: score 3
i 74, j 1526: score 3
i 77, j 778: score 3
i 83, j 223: score 3
i 90, j 1750: score 3
i 95, j 1655: score 3
i 97, j 1542: score 3
i 122, j 1757: score 3
i 126, j 1033: score 3
i 131, j 834: score 3
i 139, j 1644: score 3
i 150, j 1190: score 3
i 164, j 1978: score 3
i 165, j 353: score 3
i 170, j 1756: score 3
i 176, j 656: score 3
i 181, j 545: score 3
i 190, j 1547: score 3
i 200, j 1769: score 3
i 201, j 893: score 3
i 202, j 453: score 3
i 204, j 1687: score 3
i 215, j 947: score 3
i 227, j 922: score 3
i 228, j 410: score 3
i 229, j 726: score 3
i 239, j 587: score 3
i 247, j 998: score 3
i 257, j 938: score 3
i 262, j 1430: score 3
i 273, j 970: score 3
i 280, j 495: score 3
i 281, j 915: score 3
i 294, j 791: score 3
i 313, j 1768: score 3
i 314, j 1904: score 3
i 339, j 1713: score 3
i 347, j 1032: score 3
i 358, j 603: score 3
i 366, j 1433: score 3
i 370, j 1262: score 3
i 373, j 1421: score 3
i 385, j 1834: score 3
i 409, j 1032: score 3
i 411, j 899: score 3
i 414, j 1626: score 3
i 415, j 1685: score 3
i 423, j 1852: score 3
i 424, j 1282: score 3
i 425, j 441: score 3
i 433, j 507: score 3
i 440, j 1062: score 3
i 442, j 582: score 3
i 460, j 1007: score 3
i 463, j 1395: score 3
i 465, j 1400: score 3
i 470, j 942: score 3
i 472, j 835: score 3
i 475, j 1506: score 3
i 475, j 1590: score 3
i 477, j 1760: score 3
i 484, j 1568: score 3
i 506, j 1920: score 3
i 517, j 669: score 3
i 520, j 1240: score 3
i 534, j 626: score 3
i 556, j 1500: score 3
i 561, j 936: score 3
i 564, j 1939: score 3
i 567, j 999: score 3
i 590, j 1723: score 3
i 596, j 1833: score 3
i 597, j 1241: score 3
i 611, j 1366: score 3
i 643, j 1864: score 3
i 653, j 1719: score 3
i 668, j 1602: score 3
i 679, j 1396: score 3
i 685, j 1738: score 3
i 697, j 1390: score 3
i 717, j 1281: score 3
i 760, j 1597: score 3
i 808, j 1725: score 3
i 819, j 1829: score 3
i 824, j 1790: score 3
i 830, j 1263: score 3
i 834, j 1879: score 3
i 841, j 1293: score 3
i 852, j 1370: score 3
i 867, j 939: score 3
i 881, j 1331: score 3
i 916, j 1525: score 3
i 917, j 1196: score 3
i 947, j 1164: score 3
i 949, j 987: score 3
i 960, j 1664: score 3
i 969, j 1174: score 3
i 978, j 1406: score 3
i 978, j 1618: score 3
i 991, j 1616: score 3
i 994, j 1863: score 3
i 1003, j 1554: score 3
i 1004, j 1203: score 3
i 1018, j 1862: score 3
i 1021, j 1871: score 3
i 1029, j 1956: score 3
i 1037, j 1245: score 3
i 1037, j 1962: score 3
i 1102, j 1189: score 3
i 1212, j 1289: score 3
i 1224, j 1866: score 3
i 1231, j 1506: score 3
i 1250, j 1258: score 3
i 1273, j 1669: score 3
i 1280, j 1318: score 3
i 1284, j 1972: score 3
i 1307, j 1929: score 3
i 1344, j 1395: score 3
i 1378, j 1909: score 3
i 1409, j 1698: score 3
i 1421, j 1629: score 3
i 1436, j 1573: score 3
i 1442, j 1638: score 3
i 1447, j 1824: score 3
i 1475, j 1971: score 3
i 1514, j 1938: score 3
i 1543, j 1859: score 3
i 1575, j 1651: score 3
i 1580, j 1942: score 3
i 1594, j 1621: score 3
i 1650, j 1887: score 3
i 1696, j 1718: score 3
i 1723, j 1908: score 3
i 1771, j 1862: score 3
i 1857, j 1888: score 3
i 1879, j 1896: score 3
142
